System_Ref,FIS_Provider_Name,Day,Start_Time,End_Time
11408,Summer Holiday Food And Fun Activities For Autistic Children,Monday,9:30 AM,2:30 PM
11408,Summer Holiday Food And Fun Activities For Autistic Children,Tuesday,9:30 AM,2:30 PM
11408,Summer Holiday Food And Fun Activities For Autistic Children,Wednesday,9:30 AM,2:30 PM
11408,Summer Holiday Food And Fun Activities For Autistic Children,Thursday,9:30 AM,2:30 PM
11408,Summer Holiday Food And Fun Activities For Autistic Children,Friday,9:30 AM,2:30 PM
11412,Summer Club At Vauxhall City Farm,Monday,10:30 AM,2:30 PM
11412,Summer Club At Vauxhall City Farm,Tuesday,10:30 AM,2:30 PM
11412,Summer Club At Vauxhall City Farm,Wednesday,10:30 AM,2:30 PM
11412,Summer Club At Vauxhall City Farm,Thursday,10:30 AM,2:30 PM
11412,Summer Club At Vauxhall City Farm,Friday,10:30 AM,2:30 PM
11413,Whippersnappers Summer Playscheme 2022,Monday,10:30 AM,2:30 PM
11413,Whippersnappers Summer Playscheme 2022,Tuesday,10:30 AM,2:30 PM
11413,Whippersnappers Summer Playscheme 2022,Wednesday,10:30 AM,2:30 PM
11413,Whippersnappers Summer Playscheme 2022,Thursday,10:30 AM,2:30 PM
11413,Whippersnappers Summer Playscheme 2022,Friday,10:30 AM,2:30 PM
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,Monday,9:30 AM,3:30 PM
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,Tuesday,9:30 AM,3:30 PM
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,Wednesday,9:30 AM,3:30 PM
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,Thursday,9:30 AM,3:30 PM
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,Friday,9:30 AM,3:30 PM
11415,Latin Holiday Camp Vauxhall 5 Community Centre,Monday,9:00 AM,1:00 PM
11415,Latin Holiday Camp Vauxhall 5 Community Centre,Tuesday,9:00 AM,1:00 PM
11415,Latin Holiday Camp Vauxhall 5 Community Centre,Wednesday,9:00 AM,1:00 PM
11415,Latin Holiday Camp Vauxhall 5 Community Centre,Thursday,9:00 AM,1:00 PM
11417,Triangle Adventure Playground Summer Holiday Playscheme,Monday,12:00 PM,6:00 PM
11417,Triangle Adventure Playground Summer Holiday Playscheme,Tuesday,12:00 PM,6:00 PM
11417,Triangle Adventure Playground Summer Holiday Playscheme,Wednesday,12:00 PM,6:00 PM
11417,Triangle Adventure Playground Summer Holiday Playscheme,Thursday,12:00 PM,6:00 PM
11417,Triangle Adventure Playground Summer Holiday Playscheme,Friday,12:00 PM,6:00 PM
11419,Summer 2022 With The Boury Academy,Monday,10:00 AM,4:00 PM
11419,Summer 2022 With The Boury Academy,Tuesday,10:00 AM,4:00 PM
11419,Summer 2022 With The Boury Academy,Wednesday,10:00 AM,4:00 PM
11419,Summer 2022 With The Boury Academy,Thursday,10:00 AM,4:00 PM
11419,Summer 2022 With The Boury Academy,Friday,10:00 AM,4:00 PM
11427,Summer Football Programme With SMP,Monday,11:00 AM,1:30 PM
11427,Summer Football Programme With SMP,Tuesday,11:00 AM,1:30 PM
11427,Summer Football Programme With SMP,Wednesday,11:00 AM,1:30 PM
11427,Summer Football Programme With SMP,Thursday,11:00 AM,1:30 PM
11427,Summer Football Programme With SMP,Friday,11:00 AM,1:30 PM
11431,Rathbone Summer Fit And Fun Activities Programme,Tuesday,1:00 PM,6:00 PM
11431,Rathbone Summer Fit And Fun Activities Programme,Wednesday,1:00 PM,6:00 PM
11431,Rathbone Summer Fit And Fun Activities Programme,Thursday,1:00 PM,6:00 PM
11431,Rathbone Summer Fit And Fun Activities Programme,Friday,1:00 PM,6:00 PM
11432,Central Hill Fit And Fun Summer Activity Programme,Tuesday,1:00 PM,6:00 PM
11432,Central Hill Fit And Fun Summer Activity Programme,Wednesday,1:00 PM,6:00 PM
11432,Central Hill Fit And Fun Summer Activity Programme,Friday,1:00 PM,6:00 PM
11435,Lambeth Summer Camp Parallel Youth Enterprise,Monday,10:00 AM,4:00 PM
11435,Lambeth Summer Camp Parallel Youth Enterprise,Tuesday,10:00 AM,4:00 PM
11435,Lambeth Summer Camp Parallel Youth Enterprise,Wednesday,10:00 AM,4:00 PM
11435,Lambeth Summer Camp Parallel Youth Enterprise,Thursday,10:00 AM,4:00 PM
11435,Lambeth Summer Camp Parallel Youth Enterprise,Friday,10:00 AM,4:00 PM
11436,Routes With Omnibus Theatre,Monday,9:00 AM,1:00 PM
11436,Routes With Omnibus Theatre,Tuesday,9:00 AM,1:00 PM
11436,Routes With Omnibus Theatre,Wednesday,9:00 AM,1:00 PM
11436,Routes With Omnibus Theatre,Thursday,9:00 AM,1:00 PM
11436,Routes With Omnibus Theatre,Friday,9:00 AM,1:00 PM
11440,Karate/ Fitness Training And Self Defence Classes,Monday,6:30 PM,8:30 PM
11440,Karate/ Fitness Training And Self Defence Classes,Tuesday,6:00 PM,8:00 PM
11442,MTVH's Schools Out Summer Programmes,Monday,10:00 AM,2:00 PM
11442,MTVH's Schools Out Summer Programmes,Tuesday,10:00 AM,2:00 PM
11442,MTVH's Schools Out Summer Programmes,Wednesday,10:00 AM,5:00 PM
11442,MTVH's Schools Out Summer Programmes,Thursday,10:00 AM,2:00 PM
11443,MTVH's Schools Out Summer Programmes,Monday,10:00 AM,2:00 PM
11443,MTVH's Schools Out Summer Programmes,Tuesday,10:00 AM,2:00 PM
11443,MTVH's Schools Out Summer Programmes,Wednesday,10:00 AM,5:00 PM
11443,MTVH's Schools Out Summer Programmes,Thursday,10:00 AM,2:00 PM
11444,MTVH's Schools Out Summer Programmes,Monday,10:00 AM,2:00 PM
11444,MTVH's Schools Out Summer Programmes,Tuesday,10:00 AM,2:00 PM
11444,MTVH's Schools Out Summer Programmes,Wednesday,10:00 AM,5:00 PM
11444,MTVH's Schools Out Summer Programmes,Thursday,10:00 AM,2:00 PM
11445,Loughborough Summer Of Play Project,Monday,10:30 AM,3:30 PM
11445,Loughborough Summer Of Play Project,Tuesday,10:30 AM,3:30 PM
11445,Loughborough Summer Of Play Project,Wednesday,10:30 AM,3:30 PM
11445,Loughborough Summer Of Play Project,Thursday,10:30 AM,3:30 PM
11450,EMCAUK Summer 2022,Monday,11:00 AM,5:00 PM
11450,EMCAUK Summer 2022,Tuesday,11:00 AM,5:00 PM
11450,EMCAUK Summer 2022,Wednesday,11:00 AM,5:00 PM
11450,EMCAUK Summer 2022,Thursday,11:00 AM,5:00 PM
11450,EMCAUK Summer 2022,Friday,11:00 AM,5:00 PM
11453,KPCC's Summer Of Fun And Food 2022,Monday,10:00 AM,4:00 PM
11453,KPCC's Summer Of Fun And Food 2022,Tuesday,10:00 AM,4:00 PM
11453,KPCC's Summer Of Fun And Food 2022,Wednesday,10:00 AM,4:00 PM
11453,KPCC's Summer Of Fun And Food 2022,Thursday,10:00 AM,4:00 PM
11454,Kinetika Bloco Junior Summer School,Monday,10:00 AM,4:00 PM
11454,Kinetika Bloco Junior Summer School,Tuesday,10:00 AM,4:00 PM
11454,Kinetika Bloco Junior Summer School,Wednesday,10:00 AM,4:00 PM
11454,Kinetika Bloco Junior Summer School,Thursday,10:00 AM,4:00 PM
11454,Kinetika Bloco Junior Summer School,Friday,10:00 AM,4:00 PM
11455,Kinetika Bloco Senior Summer School,Monday,10:30 AM,5:30 PM
11455,Kinetika Bloco Senior Summer School,Tuesday,10:30 AM,5:30 PM
11455,Kinetika Bloco Senior Summer School,Wednesday,10:30 AM,5:30 PM
11455,Kinetika Bloco Senior Summer School,Thursday,10:30 AM,5:30 PM
11455,Kinetika Bloco Senior Summer School,Friday,10:30 AM,5:30 PM
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,Monday,11:00 AM,3:30 PM
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,Tuesday,11:00 AM,3:30 PM
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,Wednesday,11:00 AM,3:30 PM
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,Thursday,11:00 AM,3:30 PM
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,Friday,11:00 AM,3:30 PM
11457,Activities 4 U Multisports and Arts Camp,Monday,9:00 AM,1:00 PM
11457,Activities 4 U Multisports and Arts Camp,Tuesday,9:00 AM,1:00 PM
11457,Activities 4 U Multisports and Arts Camp,Wednesday,9:00 AM,1:00 PM
11457,Activities 4 U Multisports and Arts Camp,Thursday,9:00 AM,1:00 PM
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,Monday,11:00 AM,3:00 PM
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,Tuesday,11:00 AM,3:00 PM
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,Wednesday,11:00 AM,3:00 PM
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,Thursday,11:00 AM,3:00 PM
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,Friday,11:00 AM,3:00 PM
11466,BIGKID Summer Holiday programme,Monday,2:00 PM,6:00 PM
11466,BIGKID Summer Holiday programme,Tuesday,2:00 PM,6:00 PM
11466,BIGKID Summer Holiday programme,Wednesday,2:00 PM,6:00 PM
11466,BIGKID Summer Holiday programme,Thursday,2:00 PM,6:00 PM
11466,BIGKID Summer Holiday programme,Friday,2:00 PM,6:00 PM
11467,Drama Workshops,Monday,11:00 AM,3:00 PM
11467,Drama Workshops,Tuesday,11:00 AM,3:00 PM
11467,Drama Workshops,Wednesday,11:00 AM,3:00 PM
11467,Drama Workshops,Thursday,11:00 AM,3:00 PM
11467,Drama Workshops,Friday,11:00 AM,3:00 PM
11468,Keep Moving - Summer Haf,Monday,10:30 AM,2:30 PM
11468,Keep Moving - Summer Haf,Tuesday,10:30 AM,2:30 PM
11468,Keep Moving - Summer Haf,Wednesday,10:30 AM,2:30 PM
11468,Keep Moving - Summer Haf,Thursday,10:30 AM,2:30 PM
11468,Keep Moving - Summer Haf,Friday,10:30 AM,2:30 PM
11469,Get Creative With Code 7,Monday,4:00 PM,6:00 PM
11469,Get Creative With Code 7,Tuesday,4:00 PM,6:00 PM
11469,Get Creative With Code 7,Wednesday,4:00 PM,6:00 PM
11469,Get Creative With Code 7,Thursday,4:00 PM,6:00 PM
11469,Get Creative With Code 7,Friday,4:00 PM,6:00 PM
11470,SHARP Summer 2022 with CEF Lyncx,Monday,10:00 AM,4:00 PM
11470,SHARP Summer 2022 with CEF Lyncx,Tuesday,10:00 AM,4:00 PM
11470,SHARP Summer 2022 with CEF Lyncx,Wednesday,10:00 AM,4:00 PM
11470,SHARP Summer 2022 with CEF Lyncx,Thursday,10:00 AM,4:00 PM
11470,SHARP Summer 2022 with CEF Lyncx,Friday,10:00 AM,4:00 PM
11471,Tulse Hill Adventure Playground Summer Playscheme,Monday,1:00 PM,5:00 PM
11471,Tulse Hill Adventure Playground Summer Playscheme,Tuesday,1:00 PM,5:00 PM
11471,Tulse Hill Adventure Playground Summer Playscheme,Wednesday,1:00 PM,5:00 PM
11471,Tulse Hill Adventure Playground Summer Playscheme,Thursday,1:00 PM,5:00 PM
11471,Tulse Hill Adventure Playground Summer Playscheme,Saturday,12:30 PM,3:15 PM
11472,Upper Norwood Library Hub Summer Camps For Children,Monday,9:30 AM,4:30 PM
11472,Upper Norwood Library Hub Summer Camps For Children,Tuesday,9:30 AM,4:30 PM
11472,Upper Norwood Library Hub Summer Camps For Children,Wednesday,9:30 AM,4:30 PM
11472,Upper Norwood Library Hub Summer Camps For Children,Thursday,9:30 AM,4:30 PM
11472,Upper Norwood Library Hub Summer Camps For Children,Friday,9:30 AM,4:30 PM
11473,Lollard St. Adventure Playground,Monday,10:30 AM,4:00 PM
11473,Lollard St. Adventure Playground,Tuesday,10:30 AM,4:00 PM
11473,Lollard St. Adventure Playground,Wednesday,10:30 AM,4:00 PM
11473,Lollard St. Adventure Playground,Thursday,10:30 AM,4:00 PM
11473,Lollard St. Adventure Playground,Friday,10:30 AM,4:00 PM
11474,Lambeth Tigers Summer Camp,Monday,9:30 AM,3:30 PM
11474,Lambeth Tigers Summer Camp,Tuesday,9:30 AM,3:30 PM
11474,Lambeth Tigers Summer Camp,Wednesday,9:30 AM,3:30 PM
11474,Lambeth Tigers Summer Camp,Thursday,9:30 AM,3:30 PM
11474,Lambeth Tigers Summer Camp,Friday,9:30 AM,3:30 PM
11475,Lerato Summer Camp,Monday,12:30 PM,4:30 PM
11475,Lerato Summer Camp,Tuesday,12:30 PM,4:30 PM
11475,Lerato Summer Camp,Wednesday,12:30 PM,4:30 PM
11475,Lerato Summer Camp,Thursday,12:30 PM,4:30 PM
11476,Summer HAF Lifelong Family Links,Monday,10:00 AM,3:00 PM
11476,Summer HAF Lifelong Family Links,Tuesday,10:00 AM,3:00 PM
11476,Summer HAF Lifelong Family Links,Wednesday,10:00 AM,3:00 PM
11476,Summer HAF Lifelong Family Links,Thursday,10:00 AM,3:00 PM
11477,YPM Summer Camp,Monday,8:00 AM,6:00 PM
11477,YPM Summer Camp,Tuesday,8:00 AM,6:00 PM
11477,YPM Summer Camp,Wednesday,8:00 AM,6:00 PM
11477,YPM Summer Camp,Thursday,8:00 AM,6:00 PM
11477,YPM Summer Camp,Friday,8:00 AM,6:00 PM
11478,Brixton Topcats Summer Basketball Camp,Monday,10:00 AM,4:00 PM
11478,Brixton Topcats Summer Basketball Camp,Tuesday,10:00 AM,4:00 PM
11478,Brixton Topcats Summer Basketball Camp,Wednesday,10:00 AM,4:00 PM
11478,Brixton Topcats Summer Basketball Camp,Thursday,10:00 AM,4:00 PM
11480,Latin Holiday Camp Notre Dame,Monday,10:00 AM,2:00 PM
11480,Latin Holiday Camp Notre Dame,Tuesday,10:00 AM,2:00 PM
11480,Latin Holiday Camp Notre Dame,Wednesday,10:00 AM,2:00 PM
11480,Latin Holiday Camp Notre Dame,Thursday,10:00 AM,2:00 PM
11481,Football Food & Fun With Bankside Open Spaces Trust,Monday,11:00 AM,6:00 PM
11481,Football Food & Fun With Bankside Open Spaces Trust,Tuesday,11:00 AM,6:00 PM
11481,Football Food & Fun With Bankside Open Spaces Trust,Wednesday,11:00 AM,6:00 PM
11481,Football Food & Fun With Bankside Open Spaces Trust,Thursday,11:00 AM,6:00 PM
11481,Football Food & Fun With Bankside Open Spaces Trust,Friday,11:00 AM,6:00 PM

