System_Ref,FIS_Provider_Name,Facility_Description
476,Springfield Community Flat After School Club,Garden
476,Springfield Community Flat After School Club,Close To A Bus Stop
476,Springfield Community Flat After School Club,Car Parking
476,Springfield Community Flat After School Club,Disabled Parking
709,Triangle Adventure Playground,Garden
709,Triangle Adventure Playground,Outdoor Playground
709,Triangle Adventure Playground,Accessible toilets
1383,Brixton Library,External Ramps
1383,Brixton Library,Wheelchair Friendly
1383,Brixton Library,Induction Loop
1383,Brixton Library,Qualified First Aider On Site
1388,Carnegie Library,External Ramps
1388,Carnegie Library,Disabled Toilets
1393,Clapham Library,Accessible toilets
1393,Clapham Library,External Ramps
1393,Clapham Library,Lift
1393,Clapham Library,Wheelchair Accessible Venue
1393,Clapham Library,Wheelchair Accessible Toilet
1393,Clapham Library,Changing Room With Changing Bench And Hoist
1399,Durning Library,Disabled Toilets
1399,Durning Library,Wheelchair Accessible Venue
1415,Tate South Lambeth Library,Wheelchair Accessible Venue
1420,Streatham Library,Disabled Toilets
1420,Streatham Library,Wheelchair Accessible Venue
1445,Waterloo Library,Disabled Toilets
1445,Waterloo Library,Wheelchair Accessible Venue
1450,West Norwood Library,Disabled Parking
1450,West Norwood Library,Disabled Toilets
1450,West Norwood Library,Wheelchair Accessible Venue
1491,Slade Gardens Play And Stay,External Ramps
1514,Kennington Park Centre Stay And Play,Wheelchair Friendly
1525,Streatham Vale Stay And Play,Garden
1525,Streatham Vale Stay And Play,Messy Play Area
1525,Streatham Vale Stay And Play,Outdoor Playground
1525,Streatham Vale Stay And Play,Refreshments
1525,Streatham Vale Stay And Play,Accessible toilets
1525,Streatham Vale Stay And Play,Close To A Bus Stop
1525,Streatham Vale Stay And Play,External handrails
1525,Streatham Vale Stay And Play,External Ramps
1525,Streatham Vale Stay And Play,Kitchen
1525,Streatham Vale Stay And Play,Disabled Toilets
1525,Streatham Vale Stay And Play,Wheelchair Friendly
1525,Streatham Vale Stay And Play,Baby Changing Facilities
1657,Flaxman Sports Centre,External Ramps
1657,Flaxman Sports Centre,Wheelchair Accessible Venue
1657,Flaxman Sports Centre,Wheelchair Accessible Toilet
1658,Clapham Leisure Centre,Lift
1658,Clapham Leisure Centre,Wheelchair Friendly
1658,Clapham Leisure Centre,Wheelchair Accessible Toilet
1678,Streatham Ice And Leisure Centre,External Ramps
1678,Streatham Ice And Leisure Centre,Lift
1678,Streatham Ice And Leisure Centre,Disabled Parking
1678,Streatham Ice And Leisure Centre,Wheelchair Accessible Venue
1678,Streatham Ice And Leisure Centre,Wheelchair Accessible Toilet
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Close To A Bus Stop
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Baby Changing Facilities
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Qualified First Aider On Site
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Wheelchair Accessible Venue
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Wheelchair Accessible Toilet
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Outside Play Opportunities
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Suitable For Children And Young People With S.E.N.
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Close To A Bus Stop
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Baby Changing Facilities
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Qualified First Aider On Site
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Wheelchair Accessible Venue
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Wheelchair Accessible Toilet
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Outside Play Opportunities
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Dietary Needs Catered For
1930,Rough Sleepers Space,Automatic Entrance Doors
1931,Open Access Drop-In,Wheelchair Friendly
1932,Women's Space,Wheelchair Friendly
2913,Brockwell Park Community Greenhouses,Accessible toilets
3156,Ferndale Community Sports Centre,Disabled Parking
3156,Ferndale Community Sports Centre,Wheelchair Accessible Toilet
3444,Lambeth Somali Community Association,Wheelchair Friendly
3444,Lambeth Somali Community Association,Wheelchair Accessible Toilet
4696,South Central Youth Ltd - Youth Projects,External handrails
4696,South Central Youth Ltd - Youth Projects,Disabled Toilets
4696,South Central Youth Ltd - Youth Projects,Disabled Lift
4696,South Central Youth Ltd - Youth Projects,Wheelchair Friendly
5067,Bigkid Foundation,Close To A Bus Stop
5067,Bigkid Foundation,Qualified First Aider On Site
5067,Bigkid Foundation,Dietary Needs Catered For
5528,Chocolate Films Workshops,Close To A Bus Stop
5528,Chocolate Films Workshops,Car Parking
6805,Afewee Training Centre,Close To A Bus Stop
6805,Afewee Training Centre,Braille
6805,Afewee Training Centre,Qualified First Aider On Site
6805,Afewee Training Centre,Wheelchair Accessible Venue
6805,Afewee Training Centre,Wheelchair Accessible Toilet
6805,Afewee Training Centre,Changing Room With Changing Bench And Hoist
7171,Brixton Recreation Centre,External Ramps
7171,Brixton Recreation Centre,Lift
7171,Brixton Recreation Centre,Wheelchair Accessible Venue
7171,Brixton Recreation Centre,Wheelchair Accessible Toilet
7421,Care Trade - The School House Cafe,Disabled Toilets
7421,Care Trade - The School House Cafe,Disabled Lift
7421,Care Trade - The School House Cafe,Automatic Entrance Doors
7553,Florence Nightingale Museum,Disabled Toilets
7553,Florence Nightingale Museum,Automatic Entrance Doors
7553,Florence Nightingale Museum,Wheelchair Friendly
7688,Lifelong Family Links,Garden
7688,Lifelong Family Links,Outdoor Playground
7688,Lifelong Family Links,Disabled Toilets
7688,Lifelong Family Links,Wheelchair Friendly
9509,Mosiac LGBT Youth Club,Close To A Bus Stop
9509,Mosiac LGBT Youth Club,Qualified First Aider On Site
9509,Mosiac LGBT Youth Club,Wheelchair Accessible Venue
9509,Mosiac LGBT Youth Club,Wheelchair Accessible Toilet
9514,Autism Voice,Close To A Bus Stop
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),Sensory Play Opportunities
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,Accessible toilets
10027,Employment Support At Ethelred Children's Centre,Accessible toilets
10027,Employment Support At Ethelred Children's Centre,Close To A Bus Stop
10027,Employment Support At Ethelred Children's Centre,Disabled Lift
10027,Employment Support At Ethelred Children's Centre,Wheelchair Friendly
10027,Employment Support At Ethelred Children's Centre,Baby Changing Facilities
10029,Chattertime At Ethelred Children's Centre - Invite Only,Accessible toilets
10029,Chattertime At Ethelred Children's Centre - Invite Only,Close To A Bus Stop
10029,Chattertime At Ethelred Children's Centre - Invite Only,Disabled Lift
10029,Chattertime At Ethelred Children's Centre - Invite Only,Wheelchair Friendly
10029,Chattertime At Ethelred Children's Centre - Invite Only,Baby Changing Facilities
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,Accessible toilets
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,Lift
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,Baby Changing Facilities
10038,Chattertime At Stockwell Children's Centre,Accessible toilets
10038,Chattertime At Stockwell Children's Centre,Lift
10038,Chattertime At Stockwell Children's Centre,Baby Changing Facilities
10055,Toddler Story And Song Time At Stockwell Children's Centre,Accessible toilets
10055,Toddler Story And Song Time At Stockwell Children's Centre,Lift
10055,Toddler Story And Song Time At Stockwell Children's Centre,Baby Changing Facilities
10107,Baby And Me Messy Play At Loughborough Children's Centre,Accessible toilets
10107,Baby And Me Messy Play At Loughborough Children's Centre,Kitchen
10107,Baby And Me Messy Play At Loughborough Children's Centre,Baby Changing Facilities
10107,Baby And Me Messy Play At Loughborough Children's Centre,Outside Play Opportunities
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,Accessible toilets
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,Baby Changing Facilities
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,Sensory Play Opportunities
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,Accessible toilets
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,Baby Changing Facilities
10119,Baby Explorers At Hitherfield Children's Centre,Accessible toilets
10119,Baby Explorers At Hitherfield Children's Centre,Baby Changing Facilities
10119,Baby Explorers At Hitherfield Children's Centre,Sensory Play Opportunities
10122,E.S.O.L. At Benton's Lane Children's Centre,Accessible toilets
10122,E.S.O.L. At Benton's Lane Children's Centre,Baby Changing Facilities
10125,Natural Thinkers At Brockwell One O'Clock Club,Outdoor Playground
10125,Natural Thinkers At Brockwell One O'Clock Club,Accessible toilets
10125,Natural Thinkers At Brockwell One O'Clock Club,Close To A Bus Stop
10125,Natural Thinkers At Brockwell One O'Clock Club,Baby Changing Facilities
10130,Toddler Time At Clapham Manor Children's Centre,Accessible toilets
10130,Toddler Time At Clapham Manor Children's Centre,Baby Changing Facilities
10130,Toddler Time At Clapham Manor Children's Centre,Qualified First Aider On Site
10130,Toddler Time At Clapham Manor Children's Centre,Outside Play Opportunities
10130,Toddler Time At Clapham Manor Children's Centre,Sensory Play Opportunities
10130,Toddler Time At Clapham Manor Children's Centre,Suitable For Children And Young People With S.E.N.
10132,Messy Play Small Group At Tree House Children's Centre,Garden
10132,Messy Play Small Group At Tree House Children's Centre,Messy Play Area
10132,Messy Play Small Group At Tree House Children's Centre,Accessible toilets
10132,Messy Play Small Group At Tree House Children's Centre,Close To A Bus Stop
10132,Messy Play Small Group At Tree House Children's Centre,Kitchen
10132,Messy Play Small Group At Tree House Children's Centre,Baby Changing Facilities
10132,Messy Play Small Group At Tree House Children's Centre,Sensory Play Opportunities
10132,Messy Play Small Group At Tree House Children's Centre,Suitable For Children And Young People With S.E.N.
10133,Muslim Women's Group At Brockwell One O'Clock Club,Accessible toilets
10133,Muslim Women's Group At Brockwell One O'Clock Club,Baby Changing Facilities
10133,Muslim Women's Group At Brockwell One O'Clock Club,Outside Play Opportunities
10135,Stay And Play At Clapham Manor Children's Centre,Accessible toilets
10135,Stay And Play At Clapham Manor Children's Centre,Baby Changing Facilities
10135,Stay And Play At Clapham Manor Children's Centre,Qualified First Aider On Site
10135,Stay And Play At Clapham Manor Children's Centre,Outside Play Opportunities
10135,Stay And Play At Clapham Manor Children's Centre,Sensory Play Opportunities
10135,Stay And Play At Clapham Manor Children's Centre,Suitable For Children And Young People With S.E.N.
10138,Stay And Play At Tree House Children's Centre,Garden
10138,Stay And Play At Tree House Children's Centre,Outdoor Playground
10138,Stay And Play At Tree House Children's Centre,Accessible toilets
10138,Stay And Play At Tree House Children's Centre,Close To A Bus Stop
10138,Stay And Play At Tree House Children's Centre,Kitchen
10138,Stay And Play At Tree House Children's Centre,Baby Changing Facilities
10138,Stay And Play At Tree House Children's Centre,Sensory Play Opportunities
10138,Stay And Play At Tree House Children's Centre,Suitable For Children And Young People With S.E.N.
10139,Young Parents Group At Loughborough Children's Centre,Outdoor Playground
10139,Young Parents Group At Loughborough Children's Centre,Accessible toilets
10139,Young Parents Group At Loughborough Children's Centre,Close To A Bus Stop
10139,Young Parents Group At Loughborough Children's Centre,Creche
10139,Young Parents Group At Loughborough Children's Centre,Dietary Needs Catered For
10139,Young Parents Group At Loughborough Children's Centre,Suitable For Children And Young People With S.E.N.
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,Garden
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,Disabled Toilets
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,Automatic Entrance Doors
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,Suitable For Children And Young People With S.E.N.
10142,Rising Stars Stay And Play At Jubilee Children's Centre,Outdoor Playground
10142,Rising Stars Stay And Play At Jubilee Children's Centre,Accessible toilets
10142,Rising Stars Stay And Play At Jubilee Children's Centre,Suitable For Children And Young People With S.E.N.
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Garden
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Messy Play Area
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Accessible toilets
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Creche
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Kitchen
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Baby Changing Facilities
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Outside Play Opportunities
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Sensory Play Opportunities
10150,Baby Explorers At Clapham Manor Children's Centre,Accessible toilets
10150,Baby Explorers At Clapham Manor Children's Centre,Baby Changing Facilities
10150,Baby Explorers At Clapham Manor Children's Centre,Qualified First Aider On Site
10150,Baby Explorers At Clapham Manor Children's Centre,Outside Play Opportunities
10150,Baby Explorers At Clapham Manor Children's Centre,Sensory Play Opportunities
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Accessible toilets
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Baby Changing Facilities
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Qualified First Aider On Site
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Outside Play Opportunities
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Sensory Play Opportunities
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Suitable For Children And Young People With S.E.N.
10155,E.S.O.L. At Clapham Manor Children's Centre,Accessible toilets
10155,E.S.O.L. At Clapham Manor Children's Centre,Creche
10155,E.S.O.L. At Clapham Manor Children's Centre,Baby Changing Facilities
10155,E.S.O.L. At Clapham Manor Children's Centre,Qualified First Aider On Site
10155,E.S.O.L. At Clapham Manor Children's Centre,Outside Play Opportunities
10155,E.S.O.L. At Clapham Manor Children's Centre,Sensory Play Opportunities
10158,Employment Support At Maytree Children's Centre,Accessible toilets
10158,Employment Support At Maytree Children's Centre,Close To A Bus Stop
10158,Employment Support At Maytree Children's Centre,Wheelchair Friendly
10158,Employment Support At Maytree Children's Centre,Baby Changing Facilities
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,Outdoor Playground
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,Creche
10171,Lambeth Talking Therapies At Tree House Children's Centre,Garden
10171,Lambeth Talking Therapies At Tree House Children's Centre,Accessible toilets
10171,Lambeth Talking Therapies At Tree House Children's Centre,Close To A Bus Stop
10171,Lambeth Talking Therapies At Tree House Children's Centre,Kitchen
10171,Lambeth Talking Therapies At Tree House Children's Centre,Baby Changing Facilities
10171,Lambeth Talking Therapies At Tree House Children's Centre,Sensory Play Opportunities
10171,Lambeth Talking Therapies At Tree House Children's Centre,Suitable For Children And Young People With S.E.N.
10174,Chattertime At Maytree Children's Centre,Accessible toilets
10174,Chattertime At Maytree Children's Centre,Close To A Bus Stop
10174,Chattertime At Maytree Children's Centre,Wheelchair Friendly
10174,Chattertime At Maytree Children's Centre,Baby Changing Facilities
10174,Chattertime At Maytree Children's Centre,Sensory Play Opportunities
10174,Chattertime At Maytree Children's Centre,Suitable For Children And Young People With S.E.N.
10187,Baby Massage At Sunnyhill Children's Centre,Accessible toilets
10187,Baby Massage At Sunnyhill Children's Centre,Baby Changing Facilities
10193,E.S.O.L. At Loughborough Children's Centre,Refreshments
10193,E.S.O.L. At Loughborough Children's Centre,Close To A Bus Stop
10193,E.S.O.L. At Loughborough Children's Centre,Creche
10193,E.S.O.L. At Loughborough Children's Centre,Parking
10193,E.S.O.L. At Loughborough Children's Centre,Wheelchair Friendly
10193,E.S.O.L. At Loughborough Children's Centre,Baby Changing Facilities
10195,Wriggle And Rhyme At Tree House Children's Centre,Garden
10195,Wriggle And Rhyme At Tree House Children's Centre,Close To A Bus Stop
10195,Wriggle And Rhyme At Tree House Children's Centre,Kitchen
10195,Wriggle And Rhyme At Tree House Children's Centre,Baby Changing Facilities
10195,Wriggle And Rhyme At Tree House Children's Centre,Sensory Play Opportunities
10195,Wriggle And Rhyme At Tree House Children's Centre,Suitable For Children And Young People With S.E.N.
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Close To A Bus Stop
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Induction Loop
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Baby Changing Facilities
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Qualified First Aider On Site
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Wheelchair Accessible Venue
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Wheelchair Accessible Toilet
10269,Dream BiG Football Elite Programme,Accessible toilets
10269,Dream BiG Football Elite Programme,Close To A Bus Stop
10322,Baby Singalong At Maytree Children's Centre,Close To A Bus Stop
10322,Baby Singalong At Maytree Children's Centre,Automatic Entrance Doors
10322,Baby Singalong At Maytree Children's Centre,Wheelchair Friendly
10322,Baby Singalong At Maytree Children's Centre,Baby Changing Facilities
10322,Baby Singalong At Maytree Children's Centre,Suitable For Children And Young People With S.E.N.
10539,BASE Dance Studios,Refreshments
10539,BASE Dance Studios,Close To A Bus Stop
10539,BASE Dance Studios,Wheelchair Friendly
10602,Dash - Young People's Sexual Health And Substance Use Service,Close To A Bus Stop
10602,Dash - Young People's Sexual Health And Substance Use Service,Wheelchair Accessible Venue
