System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_3_Description
7672,Ambitious About Autism,FSD,Support for learning disabilities
7688,Lifelong Family Links,FSD,Parenting support – SEND
7688,Lifelong Family Links,FSD,Parenting support
7688,Lifelong Family Links,FSD,Support for learning disabilities
7691,Allen Edwards Speech And Language Resource Base,FSD,Specialist Resource Base
7691,Allen Edwards Speech And Language Resource Base,FSD,Primary Resource Bases
7698,Archbishop Sumner Speech And Language Resource Base,FSD,Specialist Resource Base
7698,Archbishop Sumner Speech And Language Resource Base,FSD,Primary Resource Bases
7699,Crown Lane Resource Base,FSD,Specialist Resource Base
7699,Crown Lane Resource Base,FSD,Primary Resource Bases
7700,Dunraven Slcn Resource Base,FSD,Specialist Resource Base
7700,Dunraven Slcn Resource Base,FSD,Primary Resource Bases
7700,Dunraven Slcn Resource Base,FSD,Secondary Resource Bases
7701,Jubilee Hearing Impairment Resource Base,FSD,Specialist Resource Base
7701,Jubilee Hearing Impairment Resource Base,FSD,Primary Resource Bases
7702,Lark Hall Centre For Autism,FSD,Specialist Resource Base
7702,Lark Hall Centre For Autism,FSD,Primary Resource Bases
7703,City Heights Asd Resource Base,FSD,Sixth forms and colleges
7703,City Heights Asd Resource Base,FSD,Specialist Resource Base
7703,City Heights Asd Resource Base,FSD,Secondary Resource Bases
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,Specialist Resource Base
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,Secondary Resource Bases
7705,London Nautical Asd Resource Base,FSD,Specialist Resource Base
7705,London Nautical Asd Resource Base,FSD,Secondary Resource Bases
7717,The Autism Project,FSD,Courses for adults
7717,The Autism Project,FSD,Finding employment
7717,The Autism Project,FSD,Courses for young adults
7717,The Autism Project,FSD,Get support working with a disability
7718,Care Trade Uk,FSD,
7718,Care Trade Uk,FSD,Get support working with a disability
7727,Kids' City At St Leonards,FSD,Breakfast and after school clubs
8832,Play And Learn Cafe,ECD,Parent and toddler groups
8855,YPM ASC At Fenstanton Primary School,FSD,Breakfast and after school clubs
8871,Leap Confronting Conflict,ECD,Services to support around domestic abuse
8871,Leap Confronting Conflict,ECD,Early help
8871,Leap Confronting Conflict,ECD,Mental health and well being
8872,Brixton People's Kitchen,FSD,Healthy eating
8923,Vauxhall City Farm - New Shoots,FSD,
8946,Royal Association Of The Deaf (RAD),ECD,
8949,Health Visiting Service (South East),FSD,Health Visiting Services
8950,Health Visiting Service (South West),FSD,Health Visiting Services
8954,Fridays @ The Old Library,FSD,Youth clubs
8989,Waterloo Community Counselling,FSD,Mental health
8989,Waterloo Community Counselling,FSD,Mental health and well being
8994,Young Minds,FSD,
8994,Young Minds,FSD,Mental health
8994,Young Minds,FSD,Mental health and well being
8995,Time To Change,ECD,Mental health
8995,Time To Change,ECD,Mental health and well being
9023,Children With Complex Needs (Community Nursing Service),FSD,Complex health needs
9024,Continuing Care For Patients With Complex Needs,FSD,Other specialist health needs
9025,School Nursing Service,FSD,General health needs
9288,"Little Bears, St Thomas'",FSD,Parent and toddler groups
9301,Fray Bambino After Care,FSD,Breakfast and after school clubs
9335,The Cochlear Implanted Children's Support Group (CICS Group),FSD,Hearing and visual impairment
9341,Hill Mead Primary School - Resource Base,FSD,Specialist Resource Base
9341,Hill Mead Primary School - Resource Base,FSD,Primary Resource Bases
9393,The Norwood School Breakfast Club,FSD,Breakfast and after school clubs
9395,St Saviour's Church Of England Primary School After School Club,FSD,Breakfast and after school clubs
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,Breakfast and after school clubs
9471,Multi-Sports Holiday Camp,FSD,Childcare during the holidays
9476,St Stephen's Church Of England Primary School - Breakfast Club,FSD,Breakfast and after school clubs
9477,St Mark's Church Of England Primary School - Breakfast Club,FSD,Breakfast and after school clubs
9480,St John The Divine C Of E Primary School - Breakfast Club,FSD,Breakfast and after school clubs
9509,Mosiac LGBT Youth Club,FSD,Youth clubs
9509,Mosiac LGBT Youth Club,FSD,Sports
9509,Mosiac LGBT Youth Club,FSD,Creative Arts and Multimedia
9514,Autism Voice,FSD,Parenting support – SEND
9514,Autism Voice,FSD,Parenting support
9538,Parent Champions,FSD,
9538,Parent Champions,FSD,Parent Champions
9568,The Gaia Centre,FSD,Services to support around domestic abuse
9569,Support For Young People At The Gaia Centre,FSD,
9569,Support For Young People At The Gaia Centre,FSD,Services to support around domestic abuse
9741,Julian Cousins Sports,FSD,Sports
9762,Brixton Wings After School & Mid-Term Music Classes,FSD,"Music, dance and drama"
9763,Brixton Wings After School & Mid-Term Rowing Programme,FSD,Sports
9764,Brixton Wings After School,FSD,
9843,Kooth,FSD,
9843,Kooth,FSD,Mental health and well being
9844,Centrepoint,FSD,
9845,Young Carers Hub,FSD,
9845,Young Carers Hub,FSD,Young carers
9846,Cruse Bereavement Care In Lambeth,FSD,
9847,South London And Maudsley - Community Camhs,FSD,Mental health and well being
9848,Safer London - Csa Wellbeing Service,FSD,
9906,Early Bird Parenting Programme Information Session - Virtual Sessions,FSD,Early Years SEND support services
9925,Tree Tops Breakfast Club At Kings Avenue School London,FSD,Breakfast and after school clubs
9934,Navigate: Emotional Support For Parents With Scope,FSD,
9934,Navigate: Emotional Support For Parents With Scope,FSD,Parenting support
9939,Group Pregnancy Care,FSD,
9940,L.E.A.P. Yoga With Claudia,FSD,
9940,L.E.A.P. Yoga With Claudia,FSD,Health and well-being
9943,Breastfeeding Peer Support,FSD,
9943,Breastfeeding Peer Support,FSD,Maternity
9944,Healthy Living Platform,FSD,
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,Parenting support in the early years
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,Support for young parents
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,Parenting support
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,Bonding and relationships
9947,Overcrowded Housing Support Service,FSD,
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,Speech and language support
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,Education
9949,Sharing  R E A L  With Parents,FSD,
9969,The Small Project - Baby Clothes Library,FSD,"Baby banks, clothes and equipment"
9974,The Small Project - Baby Clothes Library,FSD,"Baby banks, clothes and equipment"
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,FSD,Out of school tuition
9976,Coin Street Neighbourhood Centre - Stay & Play,FSD,Stay and Play one o'clock clubs
9983,Black Thrive,FSD,Mental health
9983,Black Thrive,FSD,Mental health and well being
9984,Barracudas (Streatham),FSD,"Music, dance and drama"
9984,Barracudas (Streatham),FSD,Sports
9984,Barracudas (Streatham),FSD,Childcare during the holidays
9984,Barracudas (Streatham),FSD,Creative Arts and Multimedia
9989,Whippersnappers Pre-Crawlers Baby Music Session,ECD,Parent and toddler groups
9990,S.Y.C.T. Breakfast Club,FSD,Youth clubs
9990,S.Y.C.T. Breakfast Club,FSD,Out of school tuition
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Food banks
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Support for young parents
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Money matters (benefits and debt)
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Mental health
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Mental health and well being
9997,S.Y.C.T. Juniors Club,FSD,Youth clubs
9997,S.Y.C.T. Juniors Club,FSD,Holiday activities
9997,S.Y.C.T. Juniors Club,FSD,Sports
9997,S.Y.C.T. Juniors Club,FSD,Creative Arts and Multimedia
9998,S.Y.C.T. Juniors Club & Inters Club,FSD,Youth clubs
9998,S.Y.C.T. Juniors Club & Inters Club,FSD,Holiday activities
9998,S.Y.C.T. Juniors Club & Inters Club,FSD,Sports
9998,S.Y.C.T. Juniors Club & Inters Club,FSD,Creative Arts and Multimedia
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,FSD,Sports
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,FSD,Out of school tuition
10003,Right Track Project,FSD,Sports
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),FSD,Youth clubs
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),FSD,Sports
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),FSD,Breakfast and after school clubs
10006,4all Between The Tracks + Afterschool Club (13 To 17 Years Old),FSD,Youth clubs
10007,4all,FSD,"Music, dance and drama"
10007,4all,FSD,Creative Arts and Multimedia
10008,Afewee Boxing Classes - Minnows Club (5 To 10 Yrs Old),FSD,Sports
10009,Afewee Boxing Classes - Junior Club (11 To 16 Yrs Old),FSD,Sports
10010,Afewee Academy Football Classes (5 To 10 Years Old),FSD,Sports
10011,Afewee Academy Football Classes  (10 To 16 Years Old),FSD,Sports
10013,Autism Exchange,FSD,Finding employment
10013,Autism Exchange,FSD,Volunteering and work experience
10013,Autism Exchange,FSD,Training
10013,Autism Exchange,FSD,Get support working with a disability
10017,Alford House Music Production Studio Sessions,FSD,Youth clubs
10017,Alford House Music Production Studio Sessions,FSD,Creative Arts and Multimedia
10018,Alford House Health And Fitness Studio Sessions,FSD,Youth clubs
10018,Alford House Health And Fitness Studio Sessions,FSD,Sports
10027,Employment Support At Ethelred Children's Centre,FSD,
10027,Employment Support At Ethelred Children's Centre,FSD,Finding employment
10027,Employment Support At Ethelred Children's Centre,FSD,Better Start North Lambeth
10029,Chattertime At Ethelred Children's Centre - Invite Only,FSD,Speech and language support
10029,Chattertime At Ethelred Children's Centre - Invite Only,FSD,Better Start North Lambeth
10030,Womens Advice Surgery At Stockwell Children's Centre,FSD,Money matters (benefits and debt)
10030,Womens Advice Surgery At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,Learning English
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10038,Chattertime At Stockwell Children's Centre,FSD,Speech and language support
10038,Chattertime At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10040,Citizens Advice At Stockwell Children's Centre,FSD,Money matters (benefits and debt)
10040,Citizens Advice At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,Family learning
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,Courses for adults
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10047,North Lambeth Better Start Area: Ethelred Children's Centre,FSD,Children’s Centre locations
10048,Child Health Clinic At Stockwell Children's Centre,FSD,Health Visiting Services
10048,Child Health Clinic At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10049,North Lambeth Better Start Area: Henry Fawcett Children's Centre,FSD,Children’s Centre locations
10052,Stay And Play At Liz Atkinson Children's Centre,FSD,Stay and play
10052,Stay And Play At Liz Atkinson Children's Centre,FSD,Better Start Brixton Stockwell
10055,Toddler Story And Song Time At Stockwell Children's Centre,FSD,Stay and play
10055,Toddler Story And Song Time At Stockwell Children's Centre,FSD,Better Start Brixton Stockwell
10060,North Lambeth Better Start Area: St Stephen's Children's Centre,FSD,Children’s Centre locations
10061,Brixton Stockwell Better Start Area: Stockwell Children's Centre,FSD,Children’s Centre locations
10062,Brixton Stockwell Better Start Area: Jessop Children's Centre,FSD,Children’s Centre locations
10063,Brixton Stockwell Better Start Area: Liz Atkinson Children's Centre,FSD,Children’s Centre locations
10064,Brixton Tulse Hill Better Start Area: Loughborough Children's Centre,FSD,Children’s Centre locations
10065,Brixton Tulse Hill Better Start Area: Jubilee Children's Centre,FSD,Children’s Centre locations
10068,Brixton Tulse Hill Better Start Area: Effra At Brockwell Children's Centre,FSD,Children’s Centre locations
10069,Baby Explorers At Henry Fawcett Children's Centre,FSD,Stay and play
10069,Baby Explorers At Henry Fawcett Children's Centre,FSD,Parent and toddler groups
10069,Baby Explorers At Henry Fawcett Children's Centre,FSD,Better Start North Lambeth
10070,Norwood Better Start Area: Benton's Lane Children's Centre,FSD,Children’s Centre locations
10071,Norwood Better Start Area: Rosendale Children's Centre,FSD,Children’s Centre locations
10072,Norwood Better Start Area: Crown Lane Children's Centre,FSD,Children’s Centre locations
10074,Streatham Better Start Area: Hitherfield Children's Centre,FSD,Children’s Centre locations
10076,Streatham Better Start Area: Sunnyhill Children's Centre,FSD,Children’s Centre locations
10077,Streatham Better Start Area: Streatham Hub Children's Centre,FSD,Children’s Centre locations
10084,Clapham And Brixton Hill Better Start Area: Maytree Children's Centre,FSD,Children’s Centre locations
10085,Clapham And Brixton Hill Better Start Area - Clapham Manor Children's Centre,FSD,Children’s Centre locations
10086,Clapham And Brixton Hill Better Start Area: Tree House Children's Centre,FSD,Children’s Centre locations
10107,Baby And Me Messy Play At Loughborough Children's Centre,FSD,Stay and play
10107,Baby And Me Messy Play At Loughborough Children's Centre,FSD,Better Start Brixton Tulse Hill
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,FSD,Stay and play
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,FSD,Better Start Streatham
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,FSD,
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,FSD,Better Start Streatham
10119,Baby Explorers At Hitherfield Children's Centre,FSD,Stay and play
10119,Baby Explorers At Hitherfield Children's Centre,FSD,Better Start Streatham
10122,E.S.O.L. At Benton's Lane Children's Centre,FSD,Learning English
10125,Natural Thinkers At Brockwell One O'Clock Club,FSD,Stay and play
10125,Natural Thinkers At Brockwell One O'Clock Club,FSD,Better Start Brixton Tulse Hill
10130,Toddler Time At Clapham Manor Children's Centre,FSD,Stay and play
10130,Toddler Time At Clapham Manor Children's Centre,FSD,Better Start Clapham Brixton Hill
10132,Messy Play Small Group At Tree House Children's Centre,FSD,Stay and play
10133,Muslim Women's Group At Brockwell One O'Clock Club,FSD,Stay and play
10133,Muslim Women's Group At Brockwell One O'Clock Club,FSD,Better Start Brixton Tulse Hill
10135,Stay And Play At Clapham Manor Children's Centre,FSD,Stay and play
10135,Stay And Play At Clapham Manor Children's Centre,FSD,Better Start Clapham Brixton Hill
10138,Stay And Play At Tree House Children's Centre,FSD,Stay and play
10138,Stay And Play At Tree House Children's Centre,FSD,Better Start Clapham Brixton Hill
10139,Young Parents Group At Loughborough Children's Centre,FSD,Support for young parents
10139,Young Parents Group At Loughborough Children's Centre,FSD,Better Start Brixton Tulse Hill
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,FSD,Healthy eating
10142,Rising Stars Stay And Play At Jubilee Children's Centre,FSD,Stay and play
10142,Rising Stars Stay And Play At Jubilee Children's Centre,FSD,Better Start Brixton Tulse Hill
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,FSD,
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,FSD,Family learning
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,FSD,Courses for adults
10150,Baby Explorers At Clapham Manor Children's Centre,FSD,Stay and play
10150,Baby Explorers At Clapham Manor Children's Centre,FSD,Better Start Clapham Brixton Hill
10152,Sensory Room Experience @ Clapham Manor Children's Centre,FSD,Stay and play
10152,Sensory Room Experience @ Clapham Manor Children's Centre,FSD,Better Start Clapham Brixton Hill
10155,E.S.O.L. At Clapham Manor Children's Centre,FSD,Learning English
10155,E.S.O.L. At Clapham Manor Children's Centre,FSD,Better Start Clapham Brixton Hill
10158,Employment Support At Maytree Children's Centre,FSD,Finding employment
10158,Employment Support At Maytree Children's Centre,FSD,Better Start Clapham Brixton Hill
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,FSD,Family learning
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,FSD,Courses for adults
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,FSD,Better Start Brixton Tulse Hill
10171,Lambeth Talking Therapies At Tree House Children's Centre,FSD,Speech and language support
10171,Lambeth Talking Therapies At Tree House Children's Centre,FSD,Better Start Clapham Brixton Hill
10174,Chattertime At Maytree Children's Centre,FSD,Speech and language support
10174,Chattertime At Maytree Children's Centre,FSD,Better Start Clapham Brixton Hill
10187,Baby Massage At Sunnyhill Children's Centre,FSD,
10187,Baby Massage At Sunnyhill Children's Centre,FSD,Family learning
10187,Baby Massage At Sunnyhill Children's Centre,FSD,Courses for adults
10187,Baby Massage At Sunnyhill Children's Centre,FSD,Better Start Streatham
10193,E.S.O.L. At Loughborough Children's Centre,FSD,Learning English
10193,E.S.O.L. At Loughborough Children's Centre,FSD,Better Start Brixton Tulse Hill
10195,Wriggle And Rhyme At Tree House Children's Centre,FSD,Stay and play
10195,Wriggle And Rhyme At Tree House Children's Centre,FSD,Better Start Clapham Brixton Hill
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,FSD,Sports
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,FSD,Better Start Clapham Brixton Hill
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,FSD,Sports
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,FSD,Mentoring
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,FSD,Support for young people out of education and employment
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,FSD,Mental health and well being
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',FSD,Sports
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',FSD,Mentoring
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',FSD,Support for young people out of education and employment
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',FSD,Mental health and well being
10239,Inspirational Youth,FSD,Parenting teenagers
10239,Inspirational Youth,FSD,Parenting support
10239,Inspirational Youth,FSD,Support for young people out of education and employment
10244,Lambeth Autism Advisory Service,FSD,
10244,Lambeth Autism Advisory Service,FSD,Parenting support – SEND
10244,Lambeth Autism Advisory Service,FSD,"Lambeth Information, Advice and Support (IASS)"
10247,Tulse Hill Adventure Playground Youth And Play Session,FSD,Adventure play
10247,Tulse Hill Adventure Playground Youth And Play Session,FSD,Breakfast and after school clubs
10249,Tulse Hill Bloco After School Club,FSD,"Music, dance and drama"
10249,Tulse Hill Bloco After School Club,FSD,Breakfast and after school clubs
10269,Dream BiG Football Elite Programme,FSD,Sports
10287,Girls Only Kicks,FSD,Sports
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),FSD,Speech and language support
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),FSD,General health needs
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),FSD,Education
10293,Centre 70,FSD,Money matters (benefits and debt)
10293,Centre 70,FSD,Complex health needs
10293,Centre 70,FSD,Mental health
10293,Centre 70,FSD,Mental health and well being
10293,Centre 70,FSD,"Lambeth Information, Advice and Support (IASS)"
10310,Lambeth Autism Group Parent And Carers Coffee Morning,FSD,
10310,Lambeth Autism Group Parent And Carers Coffee Morning,FSD,Parenting support – SEND
10310,Lambeth Autism Group Parent And Carers Coffee Morning,FSD,Parenting support
10311,National Deaf Children Society Grants,FSD,Parenting support – SEND
10311,National Deaf Children Society Grants,FSD,Hearing and visual impairment
10311,National Deaf Children Society Grants,FSD,Parenting support
10314,Kids,FSD,Parenting support – SEND
10314,Kids,FSD,Parenting support
10322,Baby Singalong At Maytree Children's Centre,FSD,Stay and play
10322,Baby Singalong At Maytree Children's Centre,FSD,Better Start Clapham Brixton Hill
10327,Lambeth Tigers,FSD,Youth clubs
10327,Lambeth Tigers,FSD,Sports
10330,Lifelong Family Links After School Club,FSD,"Music, dance and drama"
10330,Lifelong Family Links After School Club,FSD,Sports
10330,Lifelong Family Links After School Club,FSD,Creative Arts and Multimedia
10331,Lifelong Family Links Weekend Club,FSD,"Music, dance and drama"
10331,Lifelong Family Links Weekend Club,FSD,Sports
10331,Lifelong Family Links Weekend Club,FSD,Creative Arts and Multimedia
10332,Lifelong Family Links Lifeskills And Employability Training,FSD,
10332,Lifelong Family Links Lifeskills And Employability Training,FSD,Courses for young adults
10332,Lifelong Family Links Lifeskills And Employability Training,FSD,Get support working with a disability
10333,Sunnyhill Primary School - After School Club,FSD,Breakfast and after school clubs
10338,Being A Parent,FSD,Parenting support
10338,Being A Parent,FSD,Bonding and relationships
10339,"Strengthening Families, Strengthening Communities (SFSC)",FSD,Parenting support
10340,Circle Of Security Parenting,FSD,Parenting support
10340,Circle Of Security Parenting,FSD,Bonding and relationships
10341,Building Relationships For Stronger Families,FSD,Parenting support
10342,Baby Steps,FSD,General health needs
10342,Baby Steps,FSD,Parenting support
10342,Baby Steps,FSD,Maternity
10343,Brook - Healthy Lives For Young People,FSD,General health needs
10343,Brook - Healthy Lives For Young People,FSD,Sexual health
10344,Lambeth College - Brixton Centre,FSD,Sixth forms and colleges
10345,Lambeth College - Clapham Centre,FSD,Sixth forms and colleges
10359,"Domestic Abuse, Violence Against Women And Girls",FSD,Services to support around domestic abuse
10364,Speech And Language Therapy,FSD,
10379,Lambeth Young Carers Service & Adult Carers Service,FSD,
10396,M.I.N.D.,FSD,Mental health
10396,M.I.N.D.,FSD,Mental health and well being
10397,Lambeth Larder Emergency Food Support,FSD,Food banks
10403,Youth Employment Uk Free Skills & Careers Activities,FSD,Volunteering and work experience
10403,Youth Employment Uk Free Skills & Careers Activities,FSD,Training
10440,The Dream Project,FSD,Young carers
10440,The Dream Project,FSD,Mentoring
10440,The Dream Project,FSD,Mental health and well being
10444,C.E.F. Lyncx Virtual Support,FSD,Out of school tuition
10481,S.L.A.M.- 24hr Mental Health Crisis Line,FSD,
10481,S.L.A.M.- 24hr Mental Health Crisis Line,FSD,Mental health
10481,S.L.A.M.- 24hr Mental Health Crisis Line,FSD,Mental health and well being
10496,Chathealth,FSD,
10496,Chathealth,FSD,School Nursing
10496,Chathealth,FSD,School nursing services
10497,Parentline,FSD,
10505,Little Village,FSD,"Baby banks, clothes and equipment"
10539,BASE Dance Studios,FSD,"Music, dance and drama"
10553,Cool It Art Online,FSD,Holiday activities
10553,Cool It Art Online,FSD,Creative Arts and Multimedia
10564,South London Botanical Institute,FSD,Museums
10564,South London Botanical Institute,FSD,Parks and playgrounds
10567,Lerato Community Initiative,FSD,Youth clubs
10567,Lerato Community Initiative,FSD,Mentoring
10572,Brook Young People - Come Correct,FSD,Sexual health
10577,The H.E.B.E Foundation,FSD,Youth clubs
10577,The H.E.B.E Foundation,FSD,Holiday activities
10577,The H.E.B.E Foundation,FSD,Sports
